Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Sep-18,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Sep-18,,,,2858,2,0.0007,,,
Sep-18,Australian Rural Exports Pty Ltd,Port Hedland,Panjang,4,Sep-18,,,,2714,1,0.0003,,,
Sep-18,Australian Rural Exports Pty Ltd,Darwin,Panjang,7,Oct-18,,,,5056,0,0,,,
Sep-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Oct-18,,,,2525,1,0.0003,,,
Sep-18,North Australian Cattle Company Pty Ltd,Fremantle,Huanghua,15,Oct-18,,,,1952,1,0.0005,,,
Sep-18,Livestock Shipping Services Pty Ltd,Darwin,Cilacap/Jakarta,9,Oct-18,,,,6582,6,0.0009,,,
Oct-18,Frontier International Northern Pty Ltd,Darwin,Panjang,8,Oct-18,,,,3122,1,0.0003,,,
Oct-18,North Australian Cattle Company Pty Ltd,Townsville,Haiphong/Phu My,17,Oct-18,,,,3752,3,0.0008,,,
Oct-18,Livestock Shipping Services Pty Ltd,Townsville,Jakarta/Panjang,14,Oct-18,,,,6222,5,0.0008,,,
Oct-18,Australian Rural Exports Pty Ltd,Portland ,Beihai,16,Oct-18,,,,3863,1,0.0003,,,
Oct-18,Australian Rural Exports Pty Ltd,Darwin,Surabaya,6,Oct-18,,,,2621,1,0.0003,,,
Oct-18,Halleen Australiasian Livestock Traders Pty Ltd,Darwin,Jakarta,7,Oct-18,,,,4984,1,0.0002,,,
Oct-18,South East Asian Livestock Services Pty Ltd,Darwin,Subic Bay,9,Oct-18,,,,1404,13,0.0093,,,
Oct-18,International Livestock Export Pty Ltd,Broome,Quy Nhon,11,Oct-18,,,,2063,1,0.0005,,,
Oct-18,International Livestock Exports Pty Ltd/ North Australian Cattle Company Pty Ltd,Broome ,Jakarta,6,Oct-18,,,,3817,0,0,,,
Oct-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,14,Oct-18,,,,2385,3,0.0013,,,
Oct-18,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,11,Oct-18,,,,1150,4,0.0035,,,
Oct-18,Halleen Australasian Livestock Pty Ltd,Townsville,Long An,14,Oct-18,,,,2082,4,0.0019,,,
Oct-18,South East Asian Livestock Services Pty Ltd,Karumba,Tanjung Priok/Panjang,11,Oct-18,,,,1950,0,0,,,
Oct-18,Wellard Rural Exports Pty Ltd,Townsville,Long An,12,Oct-18,,,,3629,9,0.0025,,,
Oct-18,Australian Rural Exports Pty Ltd,Darwin,Belawan,8,Oct-18,,,,2737,0,0,,,
Oct-18,International Livestock Exports Pty Ltd,Broome,Panjang/Belawan,11,Oct-18,,,,12250,7,0.00057,,,
Oct-18,Frontier International Northern Pty Ltd,Townsville,Haiphong,13,Oct-18,,,,2592,3,0.0011,,,
Oct-18,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Oct-18,,,,3078,1,0.0003,,,
Oct-18,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,17,Nov-18,,,,1440,2,0.0014,,,
Oct-18,Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Panjnag,14,Nov-18,,,,19248,15,0.0008,,,
Oct-18,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Wyndham,Jakarta,5,Oct-18,,,,3785,0,0,,,
Oct-18,Landmark Operations Limited,Portland,Tianjin,17,Nov-18,,,,3436,8,0.0023,,,
Oct-18,North Australian Cattle Company Pty Ltd,Wyndham,Jakarta,7,Nov-18,,,,2571,2,0.0008,,,
Oct-18,Lembiru Livestock Pty Ltd/ Frontier International Northern Pty Ltd,Darwin,Cilacap/Jakarta ,8,Nov-18,,,,2363,0,0,,,
