Departure Date,,Exporter Licence Holder(s),Load Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Sep-19,,Livestock Shipping Services Pty Ltd,Port Alma,Haiphong,11,Oct-19,,,,4027,21,0.0052148,,,
Sep-19,,Australian Rural Exports Pty LTd/Livestock Shipping Services Pty Ltd/South East Asian Livestock Services Pty Ltd,Townsville,Jakarta/Panjang,14,Oct-19,,,,19125,9,0.000470588,,,
Oct-19,,Frontier International Northern Pty Ltd,Darwin,Hon La,10,Oct-19,214,2,0.00935,1930,0,0,,,
Oct-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,12,Oct-19,,,,2203,0,0,,,
Oct-19,,Livestock Shipping Services Pty Ltd,Fremantle,Eilat/Aqaba,24,Oct-19,,,,10274,11,0.001070664,39733,81,0.002
Oct-19,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,8,Oct-19,,,,1419,1,0.000704722,,,
Oct-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,7,Oct-19,,,,1930,1,0.000518135,,,
Oct-19,,South East Asian Livestock Services Pty Ltd ,Townsville,Thi Vai,11,Oct-19,,,,3054,2,0.000654879,,,
Oct-19,,Australian Rural Exports Pty Ltd ,Portland,Tianjin ,17,Oct-19,,,,3387,3,0.00088574,,,
Oct-19,,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Oct-19,303,0,0,2332,0,0,,,
Oct-19,,Australian Rural Exports Pty Ltd,Portland,Jingtang,21,Nov-19,,,,5853,8,0.00136682,,,
Oct-19,,International Livestock Export Pty Ltd/Livestock Shipping Services Pty Ltd/South East Asian Livestock Services Pty Ltd ,Townsville,Jakarta/Panjang,13,Oct-19,,,,12078,17,0.001407518,,,
Oct-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Oct-19,,,,2490,0,0,,,
Oct-19,,South East Asian Livestock Services Pty Ltd,Townsville,Haiphong,11,Oct-19,,,,2371,0,0,,,
Oct-19,,International Livestock Export Pty Ltd,Broome,Panajng,6,Oct-19,,,,3108,1,0.00032175,,,
Oct-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,11,Oct-19,,,,1820,1,0.000549451,,,
Oct-19,,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,15,Oct-19,,,,1500,0,0,,,
Oct-19,,Landmark Operations Limited,Portland,Qingdao,17,Nov-19,,,,3677,9,0.002447648,,,
Oct-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Belawan,10,Oct-19,,,,2657,6,0.002258186,,,
Oct-19,,North Australian Cattle Company Pty Ltd,Townsville,Hon La,15,Nov-19,,,,3594,3,0.000834725,,,
Oct-19,,Australian Rural Exports Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Belawan,8,Oct-19,427,0,0,2070,3,0.001449275,,,
Oct-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,7,Oct-19,,,,2992,0,0,,,
Oct-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,10,Nov-19,,,,2256,2,0.000886525,,,
Oct-19,,Southern Australian Cattle Company Pty Ltd,Darwin,Kinabalu/Muara/Bintulu,13,Nov-19,657,2,0.00304414,725,0,0,,,
Oct-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Nov-19,,,,2348,3,0.001277683,,,
Oct-19,,Livestock Shipping Services Pty Ltd,Port Alma,Haiphong,12,Nov-19,,,,4187,9,0.00214951,,,
Oct-19,,Australian Rural Exports Pty Ltd/Livestock Shipping Services Pty Ltd/South East Asian Livestock Services Pty Ltd,Townsville,Jakarta/Panjang,12,Nov-19,,,,17970,14,0.000779076,,,
Oct-19,,Rural Export & Trading WA Pty Ltd,Fremantle,Shuwaikh/Jebel Ali/Hamad,23,Nov-19,,,,468,0,0,58800,100,0.0017
Nov-19,*,South East Asian Livestock Services Pty Ltd,Darwin,Hon La,11,Nov-19,1012,23,0.0227,226,1,0.004424779,,,
Nov-19,,International Livestock Export Pty Ltd,Fremantle,Hon La,16,Nov-19,,,,2130,9,0.004225352,,,
Nov-19,,Frontier International Northern Pty Ltd,Darwin,Hon La,11,Nov-19,236,2,0.00847,1724,5,0.002900232,,,
Nov-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Nov-19,,,,2491,1,0.000401445,,,
Nov-19,,Southern Australian Cattle Company Pty Ltd,Fremantle,Huanghua,16,Nov-19,,,,2618,3,0.001145913,,,
Nov-19,,International Livestock Export Pty Ltd,Darwin,Pasir Gudang,7,Nov-19,,,,1726,8,0.004634994,,,
Nov-19,,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Nov-19,178,0,0,2505,2,0.000798403,,,
Nov-19,,South East Asian Livestock Services Pty Ltd,Townsville,Haiphong,12,Nov-19,,,,2275,1,0.00043956,,,
Nov-19,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta/Belawan,11,Nov-19,,,,2693,0,0,,,
Nov-19,,Australian Rural Exports Pty Ltd,Portland,Dongjing,17,Nov-19,,,,3430,6,0.001749271,,,
Nov-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,10,Nov-19,,,,2362,4,0.00169348,,,
Nov-19,,International Livestock Export Pty Ltd,Fremantle,Panjang,8,Nov-19,,,,5684,1,0.000175932,,,
Nov-19,,Rural Export & Trading WA Pty Ltd,Fremantle,Shuwaikh/Jebel Ali/Hamad,22,Dec-19,,,,669,2,0.002989537,67688,156,0.0023
Nov-19,,Atlas Exports Pty Ltd,Portland,Karachi,21,Dec-19,,,,1863,4,0.002147075,,,
Nov-19,,Purcell Brothers,Portland,Quinzhou,16,Dec-19,,,,4165,0,0,,,
Nov-19,,Australian Rural Exports Pty Ltd,Darwin,Cilacap,5,Nov-19,,,,2814,0,0,,,
Nov-19,,Edwards Livestock Company Pty Ltd/Otway Livestock Exports Pty Ltd/Australian Rural Exports Pty Ltd,Brisbane,Shinmoji,16,Dec-19,,,,1500,1,0.000666667,,,
Nov-19,,Landmark Operations Limited,Fremantle,Eilat,21,Dec-19,,,,6538,2,0.000305904,,,
Nov-19,,North Australian Cattle Company Pty Ltd,Townsville,Hon La,14,Dec-19,,,,2390,1,0.00041841,,,
Nov-19,,Australian Rural Exports Pty Ltd,Geraldton,Panjang,7,Nov-19,,,,5925,0,0,,,
Nov-19,,South East Asian Livestock Services Pty Ltd,Fremantle,Haiphong,15,Dec-19,,,,1057,3,0.002838221,,,
Nov-19,,International Livestock Export Pty Ltd,Darwin,Panjang,5,Dec-19,,,,3674,0,0,,,
Nov-19,,Frontier International Northern Pty Ltd,Darwin,Jakarta,5,Dec-19,,,,4054,2,0.00049334,,,
Nov-19,,Livestock Shipping Services Pty Ltd,Fremantle,Surabaya,7,Nov-19,,,,2034,1,0.000491642,,,
Nov-19,,Australian Rural Exports Pty Ltd / Livestock Shipping Services Pty Ltd / South East Asian Livestock Services Pty Ltd,Townsville,Jakarta/Panjang,13,Dec-19,,,,17227,14,0.000812678,,,
Nov-19,,Livestock Shipping Services Pty Ltd/Frontier International Northern Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Jakarta/Panjang,9,Nov-19,,,,10503,5,0.000476054,,,
Nov-19,,Australian Rural Exports Pty Ltd/Livestock Shipping Services Pty Ltd/South East Asian Livestock Services Pty Ltd/Frontier International Northern Pty Ltd,Townsville,Jakarta/Panjang,12,Nov-19,,,,17970,14,0.000779076,,,
Nov-19,,Australian Rural Exports Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd,Townsville,Long An,12,Dec-19,,,,5031,0,0,,,
Dec-19,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,11,Dec-19,,,,2741,0,0,,,
Dec-19,,International Livestock Export Pty Ltd,Fremantle,Surabaya,8,Dec-19,,,,3255,3,0.000921659,,,
Dec-19,,North Australian Cattle Company Pty Ltd,Townsville,Phu My,10,Dec-19,,,,2523,3,0.001189061,,,
Dec-19,,South East Asian Livestock Services Pty Ltd,Fremantle,Weifang,14,Dec-19,,,,1943,5,0.00257334,,,
Nov-19,,Australian Rural Exports Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd,Townsville,Long An,12,Dec-19,,,,5031,0,0,,,
Nov-19,,South East Asian Livestock Services Pty Ltd,Townsville,Subic Bay,17,Dec-19,,,,1326,9,0.0068,,,
Nov-19,,Livestock Shipping Services Pty Ltd,Fremantle,Haiphong,11,Dec-19,,,,3789,2,0.0005,,,
Dec-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,12,Dec-19,,,,2351,0,0,,,
Dec-19,,International Livestock Export Pty Ltd,Darwin,Panjang,6,Dec-19,,,,2009,0,0,,,
Dec-19,,International Livestock Export Pty Ltd,Fremantle,Surabaya,8,Dec-19,,,,3422,1,0.0003,,,
Nov-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,12,Dec-19,,,,2448,1,0.0004,,,
Nov-19,,Landmark Operations Limited,Geelong/Fremantle,Novorossiysk,38,Dec-19,,,,16378,27,0.0017,,,
Dec-19,,Frontier International Northern Pty Ltd,Townsville,Haiphong,11,Dec-19,,,,2560,2,0.0008,,,
Nov-19,,Australian Rural Exports Pty Ltd,Darwin,Panjang/Jakarta,7,Dec-19,278,0,0,2468,0,0,,,
Dec-19,,International Livestock Export Pty Ltd,Fremantle,Panjang,6,Dec-19,,,,3823,1,0.0003,,,
Dec-19,,South East Asian Livestock Services Pty Ltd,Townsville,Haiphong,11,Dec-19,,,,2167,5,0.0023,,,
Dec-19,,Frontier International Northern Pty Ltd,Townsville,Phu My,12,Dec-19,,,,2125,5,0.0024,,,
Dec-19,,International Livestock Export Pty Ltd,Darwin,Panjang,5,Dec-19,,,,3921,1,0.0003,,,
Dec-19,,Rural Export & Trading WA Pty Ltd,Fremantle,Shuwaikh/Jebel Ali/Hamad/Muscat,23,Dec-19,,,,731,2,0.0027,62443,201,0.003218936
Dec-19,,Australian Rural Exports Pty Ltd,Darwin,Panjang,5,Dec-19,,,,6270,0,0,,,
Dec-19,,North Australian Cattle Company Pty Ltd,Townsville,Haiphong,14,Dec-19,,,,3729,6,0.0016,,,
Dec-19,,South East Asian Livestock Services Pty Ltd,Fremantle,Thi Vai,10,Dec-19,,,,3005,13,0.0043,,,
