,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
188,Jun-14,,,,,,,71864.0,536.0,0.007458533000000001,30
189,Jun-14,,,,6688.0,6.0,0.000897129,,,,10
190,Jun-14,,,,1965.0,0.0,0.0,,,,8
191,Jun-14,,,,4040.0,1.0,0.000247525,,,,19
192,Jun-14,,,,3353.0,0.0,0.0,,,,6
193,Jun-14,,,,1532.0,0.0,0.0,,,,9
194,Jun-14,,,,2917.0,1.0,0.00034281800000000005,,,,9
195,Jun-14,,,,2606.0,1.0,0.00038373,,,,7
196,Jun-14,,,,10513.0,27.0,0.002568249,57770.0,603.0,0.010437944000000001,27
197,Jun-14,,,,1935.0,0.0,0.0,,,,12
198,Jul-14,,,,150.0,0.0,0.0,71358.0,578.0,0.008100003,27
199,Jul-14,,,,17026.0,1.0,5.870000000000001e-05,,,,10
200,Jul-14,,,,2995.0,1.0,0.00033389,,,,18
201,Jul-14,,,,960.0,2.0,0.0020833329999999997,,,,17
202,Jul-14,65.0,1.0,0.015384615,1513.0,1.0,0.0006609389999999999,,,,8
203,Jul-14,,,,2944.0,8.0,0.0027173909999999996,,,,19
204,Jul-14,,,,6729.0,0.0,0.0,,,,7
205,Jul-14,,,,4308.0,6.0,0.0013927579999999998,,,,12
206,Jul-14,544.0,1.0,0.001838235,1831.0,3.0,0.001638449,,,,11
207,Jul-14,,,,1703.0,2.0,0.0011743980000000001,,,,10
208,Jul-14,,,,4985.0,24.0,0.004814443,,,,17
209,Jul-14,,,,2534.0,1.0,0.00039463300000000003,,,,9
210,Jul-14,,,,2123.0,3.0,0.001413095,,,,8
211,Jul-14,,,,3756.0,0.0,0.0,,,,6
212,Jul-14,,,,1426.0,1.0,0.000701262,,,,8
213,Jul-14,,,,50.0,0.0,0.0,82627.0,1091.0,0.013203916000000001,31
214,Jul-14,,,,,,,61832.0,337.0,0.005450251999999999,18
215,Jul-14,,,,1406.0,0.0,0.0,,,,17
216,Jul-14,382.0,0.0,0.0,1043.0,1.0,0.000958773,,,,8
217,Jul-14,,,,2519.0,4.0,0.001587932,,,,8
218,Jul-14,,,,16793.0,10.0,0.000595486,,,,15
219,Jul-14,,,,6133.0,0.0,0.0,,,,17
220,Jul-14,,,,2744.0,0.0,0.0,,,,6
221,Jul-14,,,,2766.0,1.0,0.00036153300000000004,,,,9
222,Jul-14,,,,2142.0,1.0,0.00046685300000000004,,,,9
223,Aug-14,,,,4819.0,6.0,0.001245072,,,,13
224,Aug-14,,,,1402.0,2.0,0.001426534,,,,6
225,Aug-14,,,,2722.0,0.0,0.0,,,,7
226,Aug-14,,,,2980.0,0.0,0.0,,,,7
227,Aug-14,,,,4013.0,2.0,0.00049838,,,,13
228,Aug-14,,,,4000.0,3.0,0.00075,,,,18
229,Aug-14,,,,2008.0,0.0,0.0,,,,10
230,Aug-14,,,,,,,66395.0,359.0,0.005407034000000001,22
231,Aug-14,,,,2608.0,1.0,0.00038343599999999997,,,,6
